client_id,local_epoch,loss
208,0,0.6910422444343567
208,1,0.68343718846639
208,2,0.6718701918919882
208,3,0.657309889793396
208,4,0.6390783786773682
208,5,0.6025514205296835
208,6,0.556969960530599
208,7,0.5074520409107208
208,8,0.4549725155035655
208,9,0.392768253882726
632,0,0.6880074977874756
632,1,0.6709417223930358
632,2,0.6486078143119812
632,3,0.5990243554115295
632,4,0.5373171448707581
632,5,0.4600467383861542
632,6,0.3870736718177795
632,7,0.3426220893859863
632,8,0.2565371781587601
632,9,0.18327028900384904
622,0,0.6895879358053207
622,1,0.6780454516410828
622,2,0.6601666212081909
622,3,0.6273288577795029
622,4,0.5818571001291275
622,5,0.5365987569093704
622,6,0.4468015879392624
622,7,0.417556069791317
622,8,0.36927124857902527
622,9,0.2905765771865845
731,0,0.6921136677265167
731,1,0.6871609389781952
731,2,0.6812400817871094
731,3,0.673719972372055
731,4,0.6631956994533539
731,5,0.6503679156303406
731,6,0.6359080076217651
731,7,0.6101068258285522
731,8,0.5889227390289307
731,9,0.5522621870040894
2,0,0.6874719858169556
2,1,0.6694555759429932
2,2,0.6433536887168885
2,3,0.5787213504314422
2,4,0.5375124096870423
2,5,0.429977810382843
2,6,0.3928011953830719
2,7,0.2929568216204643
2,8,0.21822688356041908
2,9,0.1602442182600498
330,0,0.6888425946235657
330,1,0.671739916006724
330,2,0.6324904362360636
330,3,0.5689039131005605
330,4,0.48072391251722973
330,5,0.39074139545361203
330,6,0.34529463450113934
330,7,0.24110628912846246
330,8,0.17889943222204843
330,9,0.1580461449921131
362,0,0.6449454593658447
362,1,0.48543276071548463
362,2,0.36586357712745665
362,3,0.2228115451335907
362,4,0.19138954162597657
362,5,0.16393214613199233
362,6,0.1575371016561985
362,7,0.15594991832971572
362,8,0.12914476543664932
362,9,0.11494489774107933
133,0,0.6922912895679474
133,1,0.6871427893638611
133,2,0.6811681389808655
133,3,0.673163503408432
133,4,0.6643466353416443
133,5,0.6513611078262329
133,6,0.6354617476463318
133,7,0.6158009767532349
133,8,0.5890742838382721
