round,distill_loss,hr,hdcg
0,0.000975309636851307,0.19300106044538706,0.0829253910694084
1,0.002873833355261013,0.19406150583244963,0.10783735765444134
2,0.0031839985895203426,0.20254506892895016,0.11063287141064383
3,0.002501990375458263,0.2046659597030753,0.1113619379665942
4,0.0027602988771832314,0.18769883351007424,0.10488900315539118
5,0.0032414690344012343,0.21845174973488865,0.12035266794691506
6,0.002169574195431778,0.20890774125132555,0.12239404216480161
7,0.002775225576988305,0.21845174973488865,0.12916812582662207
8,0.0026122174713236745,0.20360551431601273,0.10696674743739516
9,0.0027989584340502916,0.19088016967126192,0.10380323543556755
10,0.0032464635791257025,0.20042417815482502,0.10903348466320714
11,0.00231525748513377,0.21527041357370094,0.11442117027072539
12,0.0017358874896672206,0.24602332979851538,0.13006827621435574
13,0.001648628231487237,0.2449628844114528,0.1381910127826718
14,0.002245094702084316,0.28525980911983034,0.1653806244097912
15,0.0012635239154974442,0.2651113467656416,0.15526126491375478
16,0.0016826712230454178,0.26935312831389185,0.15575291661516927
17,0.0023507752696104943,0.26193001060445387,0.15677929440606134
18,0.0021195697465827834,0.22693531283138918,0.1407335781729348
19,0.0026808829854417125,0.264050901378579,0.14135727820067917
20,0.0024427292810287327,0.24602332979851538,0.13539747340621758
21,0.001847426064193769,0.25026511134676566,0.14146914341472253
22,0.001994046372601588,0.1919406150583245,0.1010058585715837
23,0.001895047647121828,0.2205726405090138,0.11236712939974816
24,0.002065214148024097,0.22163308589607636,0.10962616791522357
25,0.001757329968677368,0.2417815482502651,0.11877413714297247
26,0.004088227872125571,0.20572640509013787,0.10454405472354028
27,0.002203125612140866,0.19936373276776245,0.09840964801642878
28,0.0026592932860125982,0.2205726405090138,0.10600866425814844
29,0.001988803919266502,0.23435843054082714,0.11660381426564517
30,0.0015281490974302868,0.22799575821845175,0.11469595650756147
31,0.001946920545924513,0.23223753976670203,0.11414895754350923
32,0.0019393161554035032,0.2258748674443266,0.11159362265364278
33,0.0018078247038374683,0.24072110286320256,0.11505121907932644
